iter	Passed	Remaining
0	193	96183
1	225	56035
2	257	42405
3	312	38576
4	350	34577
5	388	31820
6	426	29885
7	465	28527
8	506	27526
9	530	25893
10	567	25126
11	604	24475
12	650	24278
13	683	23630
14	720	23213
15	760	22903
16	791	22408
17	831	22161
18	869	21931
19	909	21748
20	942	21397
21	976	21132
22	1008	20829
23	1042	20582
24	1080	20435
25	1122	20379
26	1158	20214
27	1196	20092
28	1234	19971
29	1271	19833
30	1311	19755
31	1351	19679
32	1393	19635
33	1425	19449
34	1456	19263
35	1491	19136
36	1528	19044
37	1562	18909
38	1595	18775
39	1627	18636
40	1660	18506
41	1691	18366
42	1726	18270
43	1761	18171
44	1799	18119
45	1832	18009
46	1864	17887
47	1899	17809
48	1936	17742
49	1971	17665
50	2015	17664
51	2052	17605
52	2091	17564
53	2124	17467
54	2157	17380
55	2196	17336
56	2234	17284
57	2267	17200
58	2301	17124
59	2336	17058
60	2367	16963
61	2401	16885
62	2436	16821
63	2473	16772
64	2508	16711
65	2547	16672
66	2580	16602
67	2615	16538
68	2651	16487
69	2692	16460
70	2728	16406
71	2770	16393
72	2812	16376
73	2850	16334
74	2892	16312
75	2946	16359
76	2991	16357
77	3037	16354
78	3079	16335
79	3122	16315
80	3163	16286
81	3197	16219
82	3237	16185
83	3274	16138
84	3314	16104
85	3353	16067
86	3398	16054
87	3434	16000
88	3469	15945
89	3504	15887
90	3537	15819
91	3568	15746
92	3605	15700
93	3641	15650
94	3680	15612
95	3715	15558
96	3753	15518
97	3793	15484
98	3831	15440
99	3869	15399
100	3911	15376
101	3948	15328
102	3981	15269
103	4018	15224
104	4056	15183
105	4100	15163
106	4135	15113
107	4170	15060
108	4205	15009
109	4244	14973
110	4279	14918
111	4312	14863
112	4347	14812
113	4383	14765
114	4417	14712
115	4450	14655
116	4483	14600
117	4516	14543
118	4550	14493
119	4582	14434
120	4613	14375
121	4646	14320
122	4677	14261
123	4710	14208
124	4755	14189
125	4787	14135
126	4822	14087
127	4854	14032
128	4883	13969
129	4915	13913
130	4942	13847
131	4977	13801
132	5008	13744
133	5038	13686
134	5070	13633
135	5106	13592
136	5139	13543
137	5170	13487
138	5199	13428
139	5224	13360
140	5254	13304
141	5285	13250
142	5311	13186
143	5341	13130
144	5370	13074
145	5398	13016
146	5430	12965
147	5464	12921
148	5497	12876
149	5532	12834
150	5571	12803
151	5611	12773
152	5650	12741
153	5680	12689
154	5715	12648
155	5743	12591
156	5772	12537
157	5804	12490
158	5832	12434
159	5861	12381
160	5891	12332
161	5926	12292
162	5957	12244
163	5992	12204
164	6018	12146
165	6048	12096
166	6077	12046
167	6108	11999
168	6138	11950
169	6172	11908
170	6205	11867
171	6235	11818
172	6266	11771
173	6298	11728
174	6332	11688
175	6363	11642
176	6393	11595
177	6422	11545
178	6453	11500
179	6484	11455
180	6513	11406
181	6550	11373
182	6579	11325
183	6609	11280
184	6638	11232
185	6670	11189
186	6701	11144
187	6727	11093
188	6757	11047
189	6786	11000
190	6818	10959
191	6847	10913
192	6877	10868
193	6909	10826
194	6941	10786
195	6969	10738
196	7000	10695
197	7025	10644
198	7055	10601
199	7087	10560
200	7119	10520
201	7149	10476
202	7176	10428
203	7203	10381
204	7230	10333
205	7262	10294
206	7290	10248
207	7318	10204
208	7345	10157
209	7375	10115
210	7402	10068
211	7435	10031
212	7463	9986
213	7491	9942
214	7519	9897
215	7548	9855
216	7578	9813
217	7610	9774
218	7637	9730
219	7665	9686
220	7695	9645
221	7723	9601
222	7753	9561
223	7782	9519
224	7815	9483
225	7849	9447
226	7884	9412
227	7916	9375
228	7944	9332
229	7978	9296
230	8009	9257
231	8040	9219
232	8070	9178
233	8112	9153
234	8155	9126
235	8195	9098
236	8228	9062
237	8264	9028
238	8293	8987
239	8326	8950
240	8352	8907
241	8384	8869
242	8415	8831
243	8449	8795
244	8482	8759
245	8511	8719
246	8542	8680
247	8569	8638
248	8598	8598
249	8626	8557
250	8659	8521
251	8685	8478
252	8711	8435
253	8736	8392
254	8763	8351
255	8792	8311
256	8821	8272
257	8851	8233
258	8880	8195
259	8906	8153
260	8932	8111
261	8962	8073
262	8985	8029
263	9014	7989
264	9037	7946
265	9065	7906
266	9094	7868
267	9125	7831
268	9150	7789
269	9181	7752
270	9206	7711
271	9232	7671
272	9258	7630
273	9284	7590
274	9310	7549
275	9339	7511
276	9365	7471
277	9396	7435
278	9424	7397
279	9454	7360
280	9486	7325
281	9516	7289
282	9549	7254
283	9577	7216
284	9608	7180
285	9640	7145
286	9666	7106
287	9696	7070
288	9723	7031
289	9748	6991
290	9772	6951
291	9799	6913
292	9830	6877
293	9857	6840
294	9882	6800
295	9916	6767
296	9945	6731
297	9976	6695
298	10004	6658
299	10030	6620
300	10054	6580
301	10081	6542
302	10107	6505
303	10137	6469
304	10162	6430
305	10189	6393
306	10214	6355
307	10244	6319
308	10273	6283
309	10300	6246
310	10331	6212
311	10357	6174
312	10389	6140
313	10418	6105
314	10449	6070
315	10481	6036
316	10510	6001
317	10543	5967
318	10574	5933
319	10605	5899
320	10638	5865
321	10675	5835
322	10717	5806
323	10753	5775
324	10788	5742
325	10822	5709
326	10850	5674
327	10879	5638
328	10911	5604
329	10941	5570
330	10974	5536
331	11003	5501
332	11033	5467
333	11066	5433
334	11095	5398
335	11128	5365
336	11161	5332
337	11192	5297
338	11220	5262
339	11250	5228
340	11279	5193
341	11311	5159
342	11338	5123
343	11362	5086
344	11388	5050
345	11414	5014
346	11441	4978
347	11470	4943
348	11497	4908
349	11525	4873
350	11551	4837
351	11574	4800
352	11599	4764
353	11623	4728
354	11645	4690
355	11671	4655
356	11694	4618
357	11719	4582
358	11741	4546
359	11765	4509
360	11792	4475
361	11816	4439
362	11842	4404
363	11868	4369
364	11893	4333
365	11917	4298
366	11942	4262
367	11967	4227
368	11994	4193
369	12020	4158
370	12045	4123
371	12070	4088
372	12095	4053
373	12121	4018
374	12144	3983
375	12168	3948
376	12191	3912
377	12215	3877
378	12243	3844
379	12269	3809
380	12294	3775
381	12319	3741
382	12346	3707
383	12372	3673
384	12400	3639
385	12428	3606
386	12454	3572
387	12479	3537
388	12504	3503
389	12528	3469
390	12553	3435
391	12581	3402
392	12608	3368
393	12631	3334
394	12657	3300
395	12682	3266
396	12706	3232
397	12731	3198
398	12758	3165
399	12783	3131
400	12807	3098
401	12830	3064
402	12857	3030
403	12885	2998
404	12909	2964
405	12936	2931
406	12963	2898
407	12989	2865
408	13014	2832
409	13042	2799
410	13068	2766
411	13096	2733
412	13120	2700
413	13145	2667
414	13168	2633
415	13195	2600
416	13225	2569
417	13268	2539
418	13307	2509
419	13339	2477
420	13367	2444
421	13397	2412
422	13427	2380
423	13457	2348
424	13488	2316
425	13525	2285
426	13559	2254
427	13596	2223
428	13622	2191
429	13647	2158
430	13677	2126
431	13702	2093
432	13725	2060
433	13747	2027
434	13770	1994
435	13796	1961
436	13822	1929
437	13844	1896
438	13868	1863
439	13950	1838
440	14018	1811
441	14064	1781
442	14092	1749
443	14118	1717
444	14142	1684
445	14167	1651
446	14191	1619
447	14214	1586
448	14237	1553
449	14263	1521
450	14288	1489
451	14311	1456
452	14334	1423
453	14355	1391
454	14377	1358
455	14400	1326
456	14421	1293
457	14444	1261
458	14466	1229
459	14491	1197
460	14515	1165
461	14538	1132
462	14561	1100
463	14585	1068
464	14607	1036
465	14630	1004
466	14656	972
467	14679	940
468	14703	909
469	14727	877
470	14748	845
471	14770	813
472	14791	781
473	14816	750
474	14840	718
475	14868	687
476	14895	655
477	14918	624
478	14939	592
479	14963	561
480	14987	529
481	15012	498
482	15036	466
483	15057	435
484	15083	404
485	15104	372
486	15127	341
487	15151	310
488	15173	279
489	15200	248
490	15226	217
491	15247	185
492	15270	154
493	15292	123
494	15317	92
495	15338	61
496	15363	30
497	15385	0
